ZCTA5,StateNb,CountyNb,Population
02126,25,025,22734.0
02127,25,025,37939.0
02128,25,025,43066.0
02129,25,025,19120.0
02130,25,025,38284.0
02131,25,025,30544.0
02132,25,025,27111.0
02133,25,025,56.0
02134,25,025,21707.0
02135,25,025,47232.0
02136,25,025,35102.0
02138,25,017,37982.0
02139,25,017,39525.0
02140,25,017,21447.0
02141,25,017,15130.0
02142,25,017,4499.0
02143,25,017,26022.0
02144,25,017,25497.0
02145,25,017,27520.0
02148,25,017,66274.0
02149,25,017,49075.0
02149,25,025,0.0
02150,25,025,40721.0
02151,25,025,62252.0
02152,25,025,19316.0
02155,25,017,61483.0
02163,25,025,1391.0
02169,25,021,62140.0
02170,25,021,19950.0
02171,25,021,19539.0
02176,25,017,29817.0
02180,25,017,23244.0
02184,25,021,39143.0
02186,25,021,28637.0
02188,25,021,15133.0
02189,25,021,15123.0
02190,25,021,18910.0
02191,25,021,8271.0
02199,25,025,1574.0
02203,25,025,0.0
02205,25,025,10.0
02210,25,025,5808.0
02215,25,021,33.0
02215,25,025,26893.0
02301,25,023,69418.0
02302,25,023,36202.0
02322,25,021,4777.0
02324,25,023,25676.0
02325,25,023,3025.0
02330,25,023,11645.0
02332,25,023,16090.0
02333,25,023,14382.0
02338,25,023,7749.0
02339,25,023,14833.0
02341,25,023,10367.0
02343,25,021,11364.0
02346,25,023,24245.0
02347,25,023,11523.0
02350,25,023,272.0
02351,25,023,17085.0
02356,25,005,12767.0
02357,25,005,1906.0
02359,25,023,18361.0
02360,25,023,61134.0
02364,25,023,13708.0
02366,25,023,83.0
02367,25,023,2930.0
02368,25,021,35025.0
02370,25,023,17803.0
02375,25,005,10373.0
02379,25,023,7697.0
02382,25,023,15121.0
02420,25,017,15502.0
02421,25,017,18950.0
02445,25,021,22215.0
02445,25,025,284.0
02446,25,021,31919.0
02446,25,025,38.0
02451,25,017,17953.0
02452,25,017,15340.0
02453,25,017,31854.0
02457,25,021,1560.0
02458,25,017,12817.0
02459,25,017,19017.0
02460,25,017,9204.0
02461,25,017,7430.0
02462,25,017,1569.0
02464,25,017,3193.0
02465,25,017,12415.0
02466,25,017,8434.0
02467,25,017,9116.0
02467,25,021,9024.0
02467,25,025,4486.0
02468,25,017,5713.0
02472,25,017,35392.0
02474,25,017,28551.0
02476,25,017,17757.0
02478,25,017,27286.0
02481,25,021,17280.0
02482,25,021,10710.0
02492,25,021,21359.0
02493,25,017,11851.0
02494,25,021,10732.0
02532,25,001,11372.0
02532,25,023,2039.0
02534,25,001,899.0
02535,25,007,1651.0
02536,25,001,19993.0
02537,25,001,6178.0
02538,25,023,4428.0
02539,25,007,5168.0
02540,25,001,8450.0
02542,25,001,793.0
02543,25,001,725.0
02543,25,007,31.0
02553,25,001,164.0
02554,25,019,13517.0
02556,25,001,3338.0
02557,25,007,2372.0
02558,25,023,2178.0
02559,25,001,3388.0
02561,25,001,712.0
02562,25,001,3204.0
02563,25,001,10070.0
02564,25,019,703.0
02568,25,007,8172.0
02571,25,023,10858.0
02575,25,007,3167.0
02576,25,023,3957.0
02584,25,019,35.0
02601,25,001,16487.0
02630,25,001,1956.0
02631,25,001,10178.0
02632,25,001,11475.0
02633,25,001,4664.0
02635,25,001,3632.0
02637,25,001,267.0
02638,25,001,2968.0
02639,25,001,3238.0
02641,25,001,332.0
02642,25,001,5752.0
02643,25,001,13.0
02644,25,001,3954.0
02645,25,001,10436.0
02646,25,001,1926.0
02647,25,001,136.0
02648,25,001,7325.0
02649,25,001,15060.0
02650,25,001,829.0
02652,25,001,1402.0
02653,25,001,6307.0
02655,25,001,3591.0
02657,25,001,3664.0
02659,25,001,1100.0
02660,25,001,6662.0
02663,25,001,257.0
02664,25,001,9935.0
02666,25,001,1052.0
02667,25,001,3309.0
02668,25,001,3222.0
02670,25,001,1463.0
02671,25,001,1216.0
02672,25,001,297.0
02673,25,001,8892.0
02675,25,001,6712.0
02702,25,005,4267.0
02703,25,005,46389.0
02713,25,007,39.0
02715,25,005,4036.0
02717,25,005,4951.0
02718,25,005,6882.0
02719,25,005,15924.0
02720,25,005,31209.0
02721,25,005,28075.0
02723,25,005,16084.0
02724,25,005,18050.0
02725,25,005,2632.0
02726,25,005,15671.0
02738,25,023,5347.0
02739,25,023,6508.0
02740,25,005,45166.0
02743,25,005,10434.0
02744,25,005,13055.0
02745,25,005,25336.0
02746,25,005,17355.0
02747,25,005,22326.0
02748,25,005,11888.0
02760,25,005,28716.0
02762,25,021,9945.0
02763,25,005,2118.0
02764,25,005,4081.0
02766,25,005,19202.0
02767,25,005,15376.0
02769,25,005,12521.0
02770,25,023,5560.0
