ZCTA5,StateNb,CountyNb,Population
02771,25,005,15512.0
02777,25,005,17133.0
02779,25,005,6764.0
02780,25,005,52299.0
02790,25,005,16458.0
02791,25,005,312.0
02802,44,007,814.0
02804,44,009,2782.0
02806,44,001,17153.0
02807,44,009,1410.0
02808,44,009,2332.0
02809,44,001,22493.0
02812,44,009,1220.0
02813,44,009,8021.0
02814,44,007,7549.0
02815,44,007,247.0
02816,44,003,33160.0
02816,44,007,46.0
02817,44,003,6528.0
02818,44,003,19907.0
02822,44,009,5960.0
02823,44,007,151.0
02824,44,007,404.0
02825,44,007,5265.0
02826,44,007,822.0
02827,44,003,2224.0
02828,44,007,7469.0
02829,44,007,122.0
02830,44,007,6474.0
02831,44,003,286.0
02831,44,007,3574.0
02832,44,009,4887.0
02833,44,009,469.0
02835,44,005,5559.0
02836,44,009,158.0
02837,44,005,3616.0
02838,44,007,3801.0
02839,44,007,1870.0
02840,44,005,23902.0
02841,44,005,1220.0
02842,44,005,17115.0
02852,44,009,23579.0
02857,44,007,8339.0
02858,44,007,580.0
02859,44,007,6701.0
02860,44,007,47894.0
02861,25,005,72.0
02861,44,007,27761.0
02863,44,007,22596.0
02864,44,007,36376.0
02865,44,007,17902.0
02871,44,005,17640.0
02872,44,005,231.0
02873,44,009,266.0
02874,44,009,6137.0
02875,44,009,350.0
02876,44,007,753.0
02878,44,005,16359.0
02879,44,009,20982.0
02881,44,009,8443.0
02882,44,009,12919.0
02885,44,001,11147.0
02886,44,003,29373.0
02888,44,003,19578.0
02889,44,003,28277.0
02891,44,009,21803.0
02892,44,009,5420.0
02893,44,003,31030.0
02894,44,009,814.0
02895,44,007,43269.0
02896,44,007,11154.0
02898,44,009,1887.0
02903,44,007,13264.0
02904,44,007,31542.0
02905,44,007,26334.0
02906,44,007,25559.0
02907,44,007,29827.0
02908,44,007,38507.0
02909,44,007,46119.0
02910,44,007,21907.0
02911,44,007,16384.0
02912,44,007,4739.0
02914,44,007,22140.0
02915,44,007,16603.0
02916,44,007,8350.0
02917,44,007,14738.0
02918,44,007,3125.0
02919,44,007,29473.0
02920,44,007,37791.0
02921,44,007,12406.0
03031,33,011,11763.0
03032,33,015,5930.0
03033,33,011,5639.0
03034,33,015,4066.0
03036,33,015,5251.0
03037,33,015,4802.0
03038,33,015,34482.0
03042,33,015,7125.0
03042,33,017,21.0
03043,33,011,1610.0
03044,33,015,4739.0
03045,33,011,14107.0
03046,33,013,3005.0
03047,33,011,1727.0
03048,33,011,3353.0
03049,33,011,8342.0
03051,33,011,25394.0
03052,33,011,8478.0
03053,33,015,25646.0
03054,33,011,26622.0
03055,33,011,16120.0
03057,33,011,2612.0
03060,33,011,31251.0
03062,33,011,28966.0
03063,33,011,16036.0
03064,33,011,15069.0
03070,33,011,6134.0
03071,33,011,5198.0
03076,33,011,14222.0
