"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Wood County, OH"	"39173"	1365	130219	10.48
	"Unidentified Counties, OH"	"39999"	30573	2701247	11.32
	"Canadian County, OK"	"40017"	1781	136532	13.04
	"Cleveland County, OK"	"40027"	3016	278655	10.82
	"Comanche County, OK"	"40031"	1757	122136	14.39
	"Oklahoma County, OK"	"40109"	12197	782970	15.58
	"Tulsa County, OK"	"40143"	9639	642940	14.99
	"Unidentified Counties, OK"	"40999"	24202	1960328	12.35
	"Clackamas County, OR"	"41005"	4199	408062	10.29
	"Deschutes County, OR"	"41017"	1806	181307	9.96
	"Douglas County, OR"	"41019"	1087	108457	10.02
	"Jackson County, OR"	"41029"	2294	216527	10.59
	"Lane County, OR"	"41039"	3554	369519	9.62
	"Linn County, OR"	"41043"	1521	122849	12.38
	"Marion County, OR"	"41047"	4539	336316	13.50
	"Multnomah County, OR"	"41051"	9081	799766	11.35
	"Washington County, OR"	"41067"	6983	582779	11.98
	"Unidentified Counties, OR"	"41999"	10471	967883	10.82
	"Adams County, PA"	"42001"	922	102180	9.02
	"Allegheny County, PA"	"42003"	13164	1225365	10.74
	"Beaver County, PA"	"42007"	1676	167429	10.01
	"Berks County, PA"	"42011"	4786	414812	11.54
	"Blair County, PA"	"42013"	1270	124650	10.19
	"Bucks County, PA"	"42017"	5958	626399	9.51
	"Butler County, PA"	"42019"	1833	186847	9.81
	"Cambria County, PA"	"42021"	1357	134732	10.07
	"Centre County, PA"	"42027"	1208	161464	7.48
	"Chester County, PA"	"42029"	5325	516312	10.31
	"Cumberland County, PA"	"42041"	2683	248506	10.80
	"Dauphin County, PA"	"42043"	3437	273707	12.56
	"Delaware County, PA"	"42045"	6575	563402	11.67
	"Erie County, PA"	"42049"	3064	276207	11.09
	"Fayette County, PA"	"42051"	1351	132733	10.18
	"Franklin County, PA"	"42055"	1875	153851	12.19
	"Lackawanna County, PA"	"42069"	2246	211321	10.63
	"Lancaster County, PA"	"42071"	7000	538500	13.00
	"Lebanon County, PA"	"42075"	1592	138863	11.46
	"Lehigh County, PA"	"42077"	4253	363147	11.71
	"Luzerne County, PA"	"42079"	3193	316383	10.09
	"Lycoming County, PA"	"42081"	1222	115248	10.60
	"Mercer County, PA"	"42085"	1165	112913	10.32
	"Monroe County, PA"	"42089"	1477	166098	8.89
	"Montgomery County, PA"	"42091"	8695	821725	10.58
	"Northampton County, PA"	"42095"	2831	302294	9.37
	"Philadelphia County, PA"	"42101"	21506	1567872	13.72
	"Schuylkill County, PA"	"42107"	1367	143573	9.52
	"Washington County, PA"	"42125"	2044	207981	9.83
	"Westmoreland County, PA"	"42129"	2939	355458	8.27
	"York County, PA"	"42133"	4974	443744	11.21
	"Unidentified Counties, PA"	"42999"	16421	1670511	9.83
	"Kent County, RI"	"44003"	1565	164614	9.51
	"Providence County, RI"	"44007"	7275	633673	11.48
	"Washington County, RI"	"44009"	929	126288	7.36
	"Unidentified Counties, RI"	"44999"	1029	131851	7.80
	"Aiken County, SC"	"45003"	1965	167458	11.73
	"Anderson County, SC"	"45007"	2318	196569	11.79
	"Beaufort County, SC"	"45013"	1958	183149	10.69
	"Berkeley County, SC"	"45015"	2754	210898	13.06
	"Charleston County, SC"	"45019"	5015	396484	12.65
	"Dorchester County, SC"	"45035"	1800	153773	11.71
	"Florence County, SC"	"45041"	1657	138742	11.94
	"Greenville County, SC"	"45045"	6298	498766	12.63
	"Horry County, SC"	"45051"	3118	322342	9.67
	"Lexington County, SC"	"45063"	3264	286196	11.40
	"Pickens County, SC"	"45077"	1225	122863	9.97
	"Richland County, SC"	"45079"	4810	409549	11.74
	"Spartanburg County, SC"	"45083"	3690	301463	12.24
	"Sumter County, SC"	"45085"	1375	107396	12.80
	"York County, SC"	"45091"	3011	258526	11.65
	"Unidentified Counties, SC"	"45999"	13084	1206945	10.84
	"Minnehaha County, SD"	"46099"	2937	187318	15.68
	"Pennington County, SD"	"46103"	1471	109372	13.45
	"Unidentified Counties, SD"	"46999"	7867	568764	13.83
	"Blount County, TN"	"47009"	1229	128670	9.55
	"Davidson County, TN"	"47037"	10023	684410	14.64
	"Hamilton County, TN"	"47065"	4293	357738	12.00
	"Knox County, TN"	"47093"	5272	456132	11.56
	"Montgomery County, TN"	"47125"	3443	195734	17.59
	"Rutherford County, TN"	"47149"	4130	308251	13.40
	"Shelby County, TN"	"47157"	13234	934603	14.16
	"Sullivan County, TN"	"47163"	1492	156667	9.52
	"Sumner County, TN"	"47165"	2053	180063	11.40
	"Washington County, TN"	"47179"	1292	127440	10.14
	"Williamson County, TN"	"47187"	2270	219107	10.36
	"Wilson County, TN"	"47189"	1527	132781	11.50
	"Unidentified Counties, TN"	"47999"	30549	2769598	11.03
	"Bell County, TX"	"48027"	6140	340411	18.04
	"Bexar County, TX"	"48029"	27968	1928680	14.50
	"Brazoria County, TX"	"48039"	4800	354195	13.55
	"Brazos County, TX"	"48041"	2771	220417	12.57
	"Cameron County, TX"	"48061"	6893	422135	16.33
	"Collin County, TX"	"48085"	11086	939585	11.80
	"Comal County, TX"	"48091"	1448	134788	10.74
	"Dallas County, TX"	"48113"	40379	2574984	15.68
	"Denton County, TX"	"48121"	10195	806180	12.65
	"Ector County, TX"	"48135"	2814	157462	17.87
	"Ellis County, TX"	"48139"	2244	168499	13.32
	"El Paso County, TX"	"48141"	13073	837918	15.60
	"Fort Bend County, TX"	"48157"	9976	741237	13.46
	"Galveston County, TX"	"48167"	4167	329431	12.65
	"Grayson County, TX"	"48181"	1543	128235	12.03
	"Gregg County, TX"	"48183"	1743	123745	14.09
	"Guadalupe County, TX"	"48187"	1847	155265	11.90
	"Harris County, TX"	"48201"	72420	4589928	15.78
	"Hays County, TX"	"48209"	2502	204470	12.24
	"Hidalgo County, TX"	"48215"	14982	849843	17.63
	"Jefferson County, TX"	"48245"	3578	254679	14.05
	"Johnson County, TX"	"48251"	2100	163274	12.86
	"Kaufman County, TX"	"48257"	1663	118350	14.05
	"Lubbock County, TX"	"48303"	4273	303137	14.10
	"McLennan County, TX"	"48309"	3376	247934	13.62
	"Midland County, TX"	"48329"	2904	162565	17.86
	"Montgomery County, TX"	"48339"	7347	556203	13.21
	"Nueces County, TX"	"48355"	4738	361350	13.11
	"Parker County, TX"	"48367"	1538	129441	11.88
	"Potter County, TX"	"48375"	1886	120832	15.61
	"Randall County, TX"	"48381"	1640	132501	12.38
	"Smith County, TX"	"48423"	3160	225290	14.03
	"Tarrant County, TX"	"48439"	28745	2016872	14.25
	"Taylor County, TX"	"48441"	2037	136535	14.92
